ID,Name,Population,Live_births,Deaths,Infant_deaths_under_1_year_,Neonatal_deaths_under_4_weeks_,Natural_change,Foetal_deaths,Perinatal_deaths,Marriages,Divorces,Total_Rented_house_for_living_2008,"Rented_houses
owned_by_local
government_2008","Rented_houses
owned_by_urban_renaissance_agency_
or_public_corporation_2008",Rented_houses_owned_privately_wooden_facilities_used_exclusively_2008,"Rented_houses
owned
privately
_non-wooden_2008",Issued_houses___2008,Monthly_rent__yen_2008,Rent_per_tatami_unit__yen_2008
1,Aichi,7324000,64226,65227,117,57,-1001,1182,237,40671,12464,1073000,132000,60000,155000,634000,92000,51169,2811
2,Akita,1007000,5666,15244,13,6,-9578,133,26,3510,1393,79000,10000,900,35000,24000,8500,39598,2021
3,Aomori,1290000,8626,17309,18,8,-8683,183,26,5135,2164,138000,20000,800,85000,23000,10000,36980,1827
4,Chiba,6137000,45387,56396,95,45,-11009,1001,188,29610,10612,737000,35000,89000,212000,325000,75000,57883,3306
5,Ehime,1366000,9911,17734,16,2,-7823,245,31,5861,2244,184000,22000,100,51000,97000,14000,39889,2062
6,Fukui,772000,6112,9228,16,8,-3116,146,26,3453,1119,54000,8600,800,14000,24000,6000,43165,2136
7,Fukuoka,5054000,44033,51006,89,30,-6973,1018,149,26567,9772,874000,124000,61000,160000,475000,54000,45413,2485
8,Fukushima,1891000,13744,24166,27,12,-10422,306,63,8682,3278,206000,34000,2400,74000,79000,17000,39619,2160
9,Gifu,1985000,14831,22471,35,19,-7640,289,55,8581,3058,176000,14000,4700,36000,102000,19000,43246,2211
10,Gunma,1926000,13661,22125,22,12,-8464,330,48,8444,3241,200000,31000,900,72000,82000,13000,42249,2298
11,Hiroshima,2799000,22736,29994,43,19,-7258,501,84,13594,4691,426000,43000,5200,94000,244000,40000,46318,2531
12,Hokkaido,5327000,35125,61906,76,33,-26781,901,117,24636,10476,948000,164000,12000,389000,294000,89000,39542,1886
13,Hyogo,5438000,43378,55422,67,18,-12044,856,120,25808,9302,719000,134000,56000,116000,365000,49000,53256,2797
14,Ibaraki,2861000,20878,31414,40,21,-10536,423,83,13201,4816,283000,30000,5800,90000,126000,32000,44547,2479
15,Ishikawa,1140000,8927,12422,19,7,-3495,159,24,5126,1653,124000,11000,1800,36000,63000,11000,44288,2436
16,Iwate,1263000,8341,16959,17,7,-8618,184,32,4872,1877,127000,16000,2800,65000,31000,12000,39569,2103
17,Kagawa,964000,7510,11908,8,4,-4398,144,19,4593,1613,102000,13000,900,26000,51000,10000,42799,2177
18,Kagoshima,1630000,13688,21610,32,9,-7922,327,42,7483,2891,236000,46000,800,69000,103000,17000,37782,2057
19,Kanagawa,8986000,70648,77361,147,80,-6713,1400,258,46695,15673,1350000,99000,88000,382000,680000,101000,68009,4110
20,Kochi,718000,4779,10305,9,2,-5526,106,14,2916,1228,97000,16000,200,28000,45000,7600,37891,1963
21,Kumamoto,1765000,14894,21379,29,16,-6485,396,48,7976,2915,225000,37000,2200,65000,106000,15000,39084,2137
22,Kyoto,2559000,19327,25830,41,21,-6503,401,70,12143,4222,375000,38000,23000,72000,220000,23000,50362,3136
23,Mie,1775000,13202,19830,22,12,-6628,272,75,8174,2923,158000,17000,4100,35000,81000,22000,43339,2328
24,Miyagi,2314000,17347,23426,40,24,-6079,402,64,11127,3783,326000,29000,6100,112000,153000,26000,46712,2703
25,Miyazaki,1092000,8929,13702,25,11,-4773,240,31,5097,2202,144000,28000,700,36000,70000,9300,36727,1936
26,Nagano,2060000,15169,25110,29,16,-9941,312,56,8967,3180,200000,29000,2300,57000,88000,23000,42878,2231
27,Nagasaki,1358000,10886,17071,19,12,-6185,247,46,6013,2169,177000,36000,2500,61000,63000,15000,38732,1998
28,Nara,1347000,9430,14054,30,12,-4624,190,35,5628,2183,124000,15000,13000,29000,59000,7300,46929,2285
29,Niigata,2273000,15736,28822,20,9,-13086,320,59,9311,2987,196000,23000,1800,90000,63000,19000,42046,2347
30,Oita,1150000,9059,14264,22,11,-5205,221,32,5151,1999,170000,24000,800,38000,91000,16000,38066,2060
31,Okayama,1896000,15477,21532,30,11,-6055,325,61,8916,3245,232000,22000,4700,56000,129000,21000,43578,2466
32,Okinawa,1427000,16617,11706,31,14,4911,434,63,8464,3700,244000,33000,400,6000,195000,11000,41753,2096
33,Osaka,8672000,68816,84390,111,46,-15574,1480,239,46186,17279,1563000,233000,131000,252000,883000,64000,53822,3204
34,Saga,824000,6811,9725,13,4,-2914,135,17,3726,1378,84000,16000,900,27000,34000,6900,39264,1952
35,Saitama,7169000,54447,63466,118,52,-9019,1181,185,34199,12481,849000,38000,78000,237000,431000,65000,59197,3417
36,Shiga,1392000,12072,12507,20,10,-435,213,29,6822,2202,133000,10000,3900,18000,76000,25000,44994,2537
37,Shimane,684000,5300,9562,11,4,-4262,136,17,2753,949,65000,13000,2400,20000,21000,7600,37370,1971
